Rank,Place,County,Type,TOTAL SCORE,Crime & safety,Schools,Rent cost,Close to SF,School/TK place,Urban density,2BR median rent $,3BR median rent $,2BR under $4k (est. listings),2BR under $4k supply,3BR under $4k (est. listings),3BR under $4k supply,Violent crime /1k,Property crime /1k,Elementary district,Elementary CAASPP % met,Elementary rating /10,Middle/high district,Middle/high CAASPP % met,Middle/high rating /10,"Drive to Ferry Bldg (min, off-peak)",Miles to SF (straight line),Urbanicity index,Population,District enrolment change 2023-25 %,School assignment system,TK capacity,Rank status,Sources,Notes
,El Granada,San Mateo,Unincorporated community,,58.7,23.7,,56.3,98.8,26.0,,,,,,,4.3,16.9,Cabrillo Unified,41.9,6,Cabrillo Unified,34.3,5,31.9,20.7,139617,5417,-8.0,address-based attendance area,not established,"Not ranked - no data for rent (rent: no fetchable publisher reports a per-bedroom figure - Zumper has no page for this slug and RentCafe's El Granada page prints ""n/a""; crime: not re-researched in this pass (first pass already resolved it), retain pass-1 value)",crimegrade.org; CAASPP 2025 (CDE); cabrillo.us,"enrolment -8.0% 2023-25 (seats opening); address-based assignment; District VERIFIED this pass on the district's own page https://www.cabrillo.us/about_us, which states ""Cabrillo Unified School District serves the communities of Half Moon Bay, Moss Beach, Montara, and El Granada"". Unified K-12 (four K-5 elementaries, Cunha middle, Half Moon Bay and Pilarcitos high schools), so the same name fills both fields; El Granada Elementary is one of its schools. San Mateo County confirmed. Rent: RentCafe breadcrumb confirmed ""Average Rent in El Granada, CA"" but the value is ""n/a""; rent.com"
,El Verano,Sonoma,Unincorporated community,,57.3,7.3,,20.5,78.3,14.0,,,,,,,4.7,12.1,Sonoma Valley Unified,29.3,3,Sonoma Valley Unified,28.1,3,55.4,34.9,65399,4282,-3.8,,not established,Not ranked - no data for rent (rent: no rental market covered by any publisher (RentCafe explicitly reports n/a; Zumper/Rent.com/ApartmentList have no El Verano page); crime: not in scope for this pass),crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -3.8% 2023-25 (seats opening); District URL: https://en.wikipedia.org/wiki/El_Verano,_California . Single UNIFIED district covers K-12, so the same name is in both district fields. RENT: genuinely unavailable — rentcafe.com/average-rent-market-trends/us/ca/el-verano/ loads as a real El Verano page but prints ""n/a"" for average rent with no bedroom breakdown (its Yardi Matrix source only covers buildings of 50+ units, which El Verano has none of); zumper.com/rent-research/el-verano-ca redirects to the generic national trends page; rent.com/califor"
,Forestville,Sonoma,Unincorporated community,,38.0,34.7,,1.4,92.6,8.4,,,,,,,5.3,19.9,Forestville Union Elementary,40.1,6,West Sonoma County Union High,51.5,8,97.0,54.0,47048,3293,-11.3,"address-based attendance area — single-campus district (one TK-8 campus), so an in-district address means that campus; no intra-district choice or lottery, and out-of-district families must file an interdistrict transfer at their school of residence","Widely available — ""Enrollment is available year round"" and ""Forestville School will take your contact information for incoming Kindergarten students at any time""; no waitlist, lottery, or limited-seat language anywhere on the enrollment or FAQ pages","Not ranked - no data for rent (RENT: no rental market covered by any publisher — RentCafe has a real Forestville page and reports the value as ""n/a"". CRIME and DISTRICT: not researched in this pass (pass 1 already resolved them) — do NOT overwrite the pass-1 values with these nulls.)",crimegrade.org; CAASPP 2025 (CDE); forestvilleusd.org,"enrolment -11.3% 2023-25 (seats opening); address-based assignment; TK constrained; RENT attempts: zumper.com/rent-research/forestville-ca redirects to the generic national index — Forestville is not covered. rentcafe.com/average-rent-market-trends/us/ca/forestville/ IS a genuine Forestville, CA page and the average-rent cell reads literally ""n/a""; the page instead shows nearby Sonoma/Napa cities (Santa Rosa $2,437, Petaluma $2,834, Napa $2,643). Per the anti-fabrication rule I did NOT substitute any of those neighbouring-city figures into Forestville. No 2BR or 3BR figure was seen on any page thi"
,Geyserville,Sonoma,Unincorporated community,,49.9,14.1,,5.1,23.6,1.4,,,,,,,4.6,18.6,Geyserville Unified,33.6,4,Geyserville Unified,28.6,3,78.4,68.7,11358,862,9.7,address-based attendance area — residence-based enrollment; no in-district choice or lottery application exists on the district site,not established,Not ranked - no data for rent (rent: no rental market covered by any publisher),crimegrade.org; CAASPP 2025 (CDE); gusd.com,enrolment +9.7% 2023-25 (filling); address-based assignment; Only rent was in scope; district passed along as a free confirmation. RENT: RentCafe Geyserville page loads and shows 'n/a' for average rent with no bedroom breakdown - it states data comes from Yardi Matrix covering apartment buildings with 50+ units and that insufficient data exists for Geyserville. Zumper /rent-research/geyserville-ca redirects to the national trends page (no market). apartmentlist.com cost-of-living page returns HTTP 403. Verdict: no rental market covered by any publisher for a place of ~862 pe
,Glen Ellen,Sonoma,Unincorporated community,,40.6,7.3,,12.6,78.3,9.8,,,,,,,5.2,18.7,Sonoma Valley Unified,29.3,3,Sonoma Valley Unified,28.1,3,62.7,40.0,55081,1101,-3.8,,not established,"Not ranked - no data for rent (rent: no rental market covered by any publisher (RentCafe explicitly n/a, Zumper/Rent.com have no Glen Ellen page); crime and district not in scope for this pass)",crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -3.8% 2023-25 (seats opening); RENT: genuinely unavailable — rentcafe.com/average-rent-market-trends/us/ca/glen-ellen/ loads as a real Glen Ellen page but lists average rent as ""n/a"" with no bedroom breakdown (Yardi Matrix source only covers 50+ unit buildings, of which Glen Ellen has none); zumper.com/rent-research/glen-ellen-ca redirects to the generic national trends page; rent.com/california/glen-ellen-apartments returned an empty body. Did NOT substitute Sonoma's or Kenwood's rent. Crime and district were not in scope for this pass — those "
,Graton,Sonoma,Unincorporated community,,53.2,64.8,,13.5,76.7,10.2,,,,,,,4.8,14.5,Oak Grove Union Elementary,58.1,9,West Sonoma County Union High,51.5,8,61.7,51.1,56625,1815,-4.8,address-based attendance area,"Not TK-specific, and a seat in the district is guaranteed: ""Resident registrations are always welcome and placement is always guaranteed at one of our Union School District schools."" The home school is not guaranteed, however — ""If a grade level is closed, you can still register, and placement at another District school will be offered."" No TK waitlist or TK lottery stated.","Not ranked - no data for rent (rent: no rental market covered by any publisher - Zumper has no page for this slug and RentCafe's Graton page prints ""n/a"" (no apartment buildings of 50+ units); crime: not re-researched in this pass, retain pass-1 value)",crimegrade.org; CAASPP 2025 (CDE); unionsd.org,"enrolment -4.8% 2023-25 (seats opening); address-based assignment; TK constrained; District RESOLVED this pass on https://en.wikipedia.org/wiki/Graton,_California, whose education section states ""The school districts are Oak Grove Union Elementary School District and West Sonoma County Union High School District"". Sonoma County confirmed on the same page. This is a split elementary/high-school arrangement, NOT a unified district, so the two fields differ. GreatSchools /california/graton/ and /california/graton/schools/ both returned generic landing-page content with no district names. Rent: RentC"
,Greenbrae,Marin,Unincorporated community,,16.4,75.1,,70.0,75.7,37.7,,,,,,,8.1,28.4,Kentfield Elementary,76.5,10,Tamalpais Union High,61.5,9,25.1,12.6,230228,1586,-4.6,address-based attendance area — residency-based; single-elementary district (Bacich),"Constrained — the district does not run a standard full-day in-district TK classroom: ""KSD provides access to a 3 hour UTK program for KSD families through a partnership with local community agencies,"" and the College of Marin partner program has ""limited space for prioritized enrollment (CSPP eligibility criteria).""",Not ranked - no data for rent (no rental market covered by any publisher - rentcafe reports Greenbrae's average rent as n/a),crimegrade.org; CAASPP 2025 (CDE); kentfieldschools.org,"enrolment -4.6% 2023-25 (seats opening); address-based assignment; TK constrained; BOTH TARGET FIELDS ADDRESSED. Rent is a genuine null: rentcafe.com/average-rent-market-trends/us/ca/greenbrae/ loaded and shows n/a for Greenbrae while listing real figures for other Bay Area cities; the zumper greenbrae-ca slug redirects to the national index. District: Kentfield Elementary SD runs Bacich Elementary (TK-4) and Kent Middle (5-8) at 25 McAllister Ave, Kentfield 94904 - the same 94904 ZIP as Greenbrae - and its feeder relationship sends students to Tamalpais Union for high school at Redwood High in L"
,Inverness,Marin,Unincorporated community,,15.2,16.7,,7.4,52.4,1.9,,,,,,,7.7,32.3,Shoreline Unified,38.6,5,Shoreline Unified,30.0,4,69.1,32.9,16018,1304,-0.4,,not established,Not ranked - no data for rent (Rent: no rental market covered by any publisher. Crime/district: not in scope for this second pass (first pass already resolved them).),crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -0.4% 2023-25 (flat); Zumper /rent-research/inverness-ca redirects to the generic national index. RentCafe has a real Inverness, CA page and it was confirmed to be the California Inverness, but the average-rent value is n/a - the page states it covers 'all Inverness apartment buildings with 50 or more units', and this West Marin community of ~1,304 on Tomales Bay has none. Did not substitute a Point Reyes Station or Novato figure."
,Japantown,San Francisco,SF neighbourhood,,6.4,50.2,,96.3,9.0,94.9,,,,,,,10.7,63.5,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,9.3,2.1,720103,3900,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,"Not ranked - no data for rent (no publisher returns a fetchable page with both 2BR and 3BR medians for the Japantown SF neighbourhood - rentcafe 500s, rent.com renders empty via JS, apartments.com 403s, and Zumper's San Francisco rent-research page covers only Civic Center, Dogpatch, Downtown, Financial District, Hayes Valley, Mission, Pacific Heights, Soma, South Beach and Tenderloin, not Japantown)","DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; TARGET FIELD (rent) NOT RESOLVED - reporting the failure rather than a number. Five URL patterns tried: zumper SF-neighborhood path, zumper SF city page (neighborhood list confirmed to exclude Japantown), rentcafe two slug forms (both HTTP 500), rent.com neighborhood page (empty body), apartments.com (HTTP 403). The single permitted WebSearch surfaced only unusable figures: a 2BR 'starting at $3,940+' floor price rather than a median, and 3BR values that were individual listings ($3,650-$5,895) spread across differ"
,Knightsen,Contra Costa,Unincorporated community,,78.7,32.4,,10.9,23.6,20.5,,,,,,,3.2,12.8,Knightsen Elementary,45.1,6,Liberty Union High,44.2,7,64.4,41.7,100965,1568,14.5,address-based attendance area,not established,Not ranked - no data for rent (rent: no rental market covered by any publisher),crimegrade.org; CAASPP 2025 (CDE); knightsen.k12.ca.us,"enrolment +14.5% 2023-25 (filling); address-based assignment; Only rent was in scope here; I resolved it as a genuine null and am passing the district along as a free confirmation. RENT: RentCafe Knightsen page loads and shows 'n/a' for average rent, with no bedroom-level breakdown - RentCafe/Yardi Matrix covers apartment buildings of 50+ units and Knightsen (pop ~1,568, rural East County) has none. Zumper has no /rent-research/knightsen-ca market page. Verdict: no rental market covered by any publisher. Did NOT substitute Brentwood or Oakley rents. DISTRICT (confident, split"
,La Honda,San Mateo,Unincorporated community,,55.5,40.1,,22.3,22.6,20.9,,,,,,,4.4,17.2,La Honda-Pescadero Unified,52.6,8,La Honda-Pescadero Unified,45.2,7,54.9,33.6,102766,928,5.7,,not established,Not ranked - no data for rent (Rent: no rental market covered by any publisher. Crime/district: not in scope for this second pass (first pass already resolved them).),crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +5.7% 2023-25 (filling); Zumper /rent-research/la-honda-ca redirects to the generic national index. RentCafe has a genuine La Honda, CA page which explicitly lists both the 2-bedroom and 3-bedroom average rents as n/a; it credits Yardi Matrix and notes coverage is limited to buildings with 50+ units, which this San Mateo County mountain community of ~928 does not have. Did not substitute a Woodside, Portola Valley or Half Moon Bay figure."
,Lagunitas-Forest Knolls,Marin,Unincorporated community,,30.0,67.8,,22.3,18.8,11.6,,,,,,,5.4,23.6,Lagunitas Elementary,50.6,8,Tamalpais Union High,61.5,9,54.9,22.1,62565,1435,8.6,address-based attendance area,"Widely available. District handbook states plainly: ""Space will be available for all eligible students who reside within the Lagunitas School District boundaries."" No waitlist, lottery, or seat cap. TK is taught in a combined TK/K class at the single community school.","Not ranked - no data for rent (RENT: no rental market covered by any publisher — RentCafe pages exist for BOTH halves of the double name and both report ""n/a"". CRIME and DISTRICT: not researched in this pass (pass 1 already resolved them) — do NOT overwrite the pass-1 values with these nulls.)",crimegrade.org; CAASPP 2025 (CDE); lagunitas.org (official Lagunitas Community School Handbook 2025-2026 PDF on the district's CMS asset host),"enrolment +8.6% 2023-25 (filling); address-based assignment; TK constrained; RENT attempts, including the hyphenated-double-name split the brief called for: zumper.com/rent-research/lagunitas-ca redirects to the generic national index. rentcafe.com/average-rent-market-trends/us/ca/lagunitas-forest-knolls/ resolved but rendered as a ""Forest Knolls, CA"" page with the value ""n/a"". rentcafe.com/average-rent-market-trends/us/ca/lagunitas/ is a genuine Lagunitas, CA page, also ""n/a"". So both halves of the name were tried separately and both are uncovered. At ~1,435 people in the San Geronimo Vall"
,Montara,San Mateo,Unincorporated community,,56.8,23.7,,63.5,98.8,27.9,,,,,,,4.7,13.5,Cabrillo Unified,41.9,6,Cabrillo Unified,34.3,5,28.1,18.5,154479,2833,-8.0,address-based attendance area,not established,Not ranked - no data for rent (no rental market covered by any publisher - rentcafe explicitly reports Montara's average rent as n/a),crimegrade.org; CAASPP 2025 (CDE); cabrillo.us,"enrolment -8.0% 2023-25 (seats opening); address-based assignment; TARGET FIELD (rent) RESOLVED AS A GENUINE NULL, not a fetch failure. This is a positive finding rather than a miss: rentcafe.com/average-rent-market-trends/us/ca/montara/ loaded successfully, its breadcrumb confirms San Mateo County (correct place), and it prints n/a for Montara's rent while showing real figures for comparison cities ranging $1,621-$4,739 - so the publisher covers the region and specifically has no data for this community. The zumper montara-ca slug redirects to the national index, i.e. no such cit"
,Monte Rio,Sonoma,Unincorporated community,,7.6,85.9,,0.9,35.2,2.8,,,,,,,12.3,50.1,Union Elementary,75.2,10,Union Elementary,74.7,10,101.1,57.1,18774,1152,1.4,address-based attendance area,"Not TK-specific, and a seat in the district is guaranteed: ""Resident registrations are always welcome and placement is always guaranteed at one of our Union School District schools."" The home school is not guaranteed, however — ""If a grade level is closed, you can still register, and placement at another District school will be offered."" No TK waitlist or TK lottery stated.",Not ranked - no data for rent (no rental market covered by any publisher — RentCafe returns a live Monte Rio page whose average-rent field is explicitly 'n/a'),crimegrade.org; CAASPP 2025 (CDE); unionsd.org,"enrolment +1.4% 2023-25 (flat); address-based assignment; TK constrained; PASS-2 TARGET WAS RENT; confirmed negative, not a failed lookup. rentcafe.com/average-rent-market-trends/us/ca/monte-rio/ resolves to a genuine Monte Rio page and reports n/a for average rent; its Yardi Matrix source covers buildings of 50+ units and Monte Rio (pop ~1,152, heavily seasonal/vacation housing along the Russian River) has none. That same page offers Santa Rosa ($2,437), Petaluma ($2,834) and Napa ($2,643) as 'nearby' comparisons — I deliberately did NOT borrow any of them, per the no-copying-from-a-lar"
,Monte Sereno,Santa Clara,City,,78.5,91.5,,19.1,25.7,45.1,,,,,,,2.4,19.0,Los Gatos Union Elementary,79.1,10,Los Gatos-Saratoga Union High,75.6,10,57.0,44.4,279940,3479,4.1,address-based attendance area — but TK year specifically is site-preference with a lottery when oversubscribed,"Constrained — for 2026-27 ""all families registering for TK will indicate their site preference,"" and ""In the event demand exceeds capacity, those who register between February 2 and February 27 will be entered into a lottery to determine which site they will attend. Priority will be given to families with siblings at the requested school and then by attendance area.""","Not ranked - no data for rent (no rental market covered by any publisher - RentCafe returns n/a and states it only covers buildings with 50+ units; Monte Sereno is a 3,479-person almost entirely single-family-home city with effectively no apartment stock. Crime was NOT in my pass-2 scope - do not overwrite pass-1 values)",crimegrade.org; CAASPP 2025 (CDE); lgusd.org (via search-result content; site blocked direct fetch with 403),"enrolment +4.1% 2023-25 (filling); address-based assignment; TK constrained; DISTRICT RESOLVED. https://en.wikipedia.org/wiki/Monte_Sereno,_California, Schools section, verbatim: 'Most of Monte Sereno's residents are served by the Los Gatos Union Elementary School or Saratoga Elementary School districts (for elementary and middle schools) and Los Gatos-Saratoga Union High School Districts (for high school). A small portion of residents, primarily in the Bicknell Road area, are served by the Campbell Union School and the Campbell Union High School districts.' I put the majority districts in "
,Moss Beach,San Mateo,Unincorporated community,,42.7,23.7,,59.3,98.8,24.7,,,,,,,5.4,16.8,Cabrillo Unified,41.9,6,Cabrillo Unified,34.3,5,30.1,19.7,132146,3103,-8.0,address-based attendance area,not established,"Not ranked - no data for rent (rent: no rental market covered by any publisher - Zumper has no page for this slug and RentCafe's Moss Beach page prints ""n/a"" because there are no apartment buildings of 50+ units to track; crime: not re-researched in this pass, retain pass-1 value)",crimegrade.org; CAASPP 2025 (CDE); cabrillo.us,"enrolment -8.0% 2023-25 (seats opening); address-based assignment; District RESOLVED this pass. GreatSchools returned only generic statewide content for /california/moss-beach/ and /california/moss-beach/schools/, and the Moss Beach Wikipedia article has no education section, so I went to the district's own site: https://www.cabrillo.us/about_us states ""Cabrillo Unified School District serves the communities of Half Moon Bay, Moss Beach, Montara, and El Granada"". It is K-12 unified, so the same district name fills both fields. Naming a neighbouring-town district here is the correc"
,North Richmond,Contra Costa,Unincorporated community,,29.5,10.8,,65.6,59.0,56.7,,,,,,,5.8,21.6,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,27.3,10.9,338965,4079,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school","Not ranked - no data for rent (rent: no publisher reports a per-bedroom figure - Zumper has no page for this slug and RentCafe's North Richmond page prints ""n/a"" (no apartment buildings of 50+ units in the tracked market area); district and crime: not in this pass's missing list and not re-researched, retain pass-1 values)",crimegrade.org; CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; Confirmed the RentCafe page is the correct North Richmond - title ""Average Rent in North Richmond, CA: 2026 Rent Prices by Neighborhood"" - and separately confirmed on https://en.wikipedia.org/wiki/North_Richmond,_California that this is the Contra Costa County CDP, not a namesake. That Wikipedia article has NO education section, so it could not corroborate a school district; district was left to the pass-1 value rather than guessed. Rent alternates tried: Zumper (redirects to national landing page), RentCafe (""n/a"""
,Occidental,Sonoma,Unincorporated community,,38.4,60.1,,1.9,29.0,4.2,,,,,,,5.8,17.4,Harmony Union Elementary,52.3,8,Harmony Union Elementary,49.6,8,94.2,51.9,27510,1115,4.8,,not established,Not ranked - no data for rent (no rental market covered by any publisher),crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +4.8% 2023-25 (filling); IN SCOPE THIS PASS: rent only — and it genuinely does not exist. RentCafe's Occidental page loads and confirms the place is in Sonoma County, but renders 'n/a' for average rent; its stated methodology counts only apartment buildings with 50 or more units, and Occidental (pop ~1,115) has none. Zumper's /rent-research/occidental-ca slug fell through to the generic national landing page, meaning no Zumper market report exists for it. Deliberately NOT substituting Sebastopol's or Santa Rosa's rent. Crime and district f"
,Penngrove,Sonoma,Unincorporated community,,34.6,32.9,,30.2,51.2,17.2,,,,,,,5.3,21.2,Petaluma City Elementary,44.7,6,Petaluma City Elementary,45.1,7,49.0,37.7,85481,2362,2.3,address-based attendance area,not established,"Not ranked - no data for rent (RENT: no rental market covered by any publisher — RentCafe has a real Penngrove page and reports the value as ""n/a"". CRIME and DISTRICT: not researched in this pass (pass 1 already resolved them) — do NOT overwrite the pass-1 values with these nulls.)",crimegrade.org; CAASPP 2025 (CDE); petalumacityschools.org,"enrolment +2.3% 2023-25 (flat); address-based assignment; RENT attempts: zumper.com/rent-research/penngrove-ca redirects to the generic national index — Penngrove is not covered. rentcafe.com/average-rent-market-trends/us/ca/penngrove/ IS a genuine Penngrove page (page title read ""Average Rent in Penngrove, CA: 2026 Rent Prices by Neighborhood"") but the average-rent cell reads literally ""n/a"" — no bedroom-level breakdown of any kind. Confirmed Sonoma County Penngrove, no namesake collision. No figure seen on any page, so both bedroom fields stay null rather than borrowing"
,Pescadero,San Mateo,Unincorporated community,,17.6,40.1,,14.0,22.6,6.0,,,,,,,6.4,33.9,La Honda-Pescadero Unified,52.6,8,La Honda-Pescadero Unified,45.2,7,61.5,37.3,29810,643,5.7,,not established,"Not ranked - no data for rent (no rental market covered by any publisher - RentCafe returns n/a and states it covers 'all Pescadero apartment buildings with 50 or more units', of which there are effectively none in a 643-person rural coastal town. Crime and district were NOT in my pass-2 scope - those nulls mean 'not re-researched', do not overwrite pass-1 values)",crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +5.7% 2023-25 (filling); RENT NOT AVAILABLE - this is a genuine no-data answer, not a search failure. Tried zumper.com/rent-research/pescadero-ca (Pescadero not in Zumper's covered markets), rentcafe.com/average-rent-market-trends/us/ca/pescadero/ (explicit n/a in the comparison table, with the 50+-unit-building coverage rule stated on the page), and apartmentlist.com/renter-life/cost-of-living-in-pescadero-ca (403). Pescadero is a 643-person unincorporated farming and coastal town in southern San Mateo County with no multifamily stock to "
,Point Reyes Station,Marin,Unincorporated community,,10.8,16.7,,10.9,52.4,3.7,,,,,,,9.1,43.6,Shoreline Unified,38.6,5,Shoreline Unified,30.0,4,64.4,29.3,22946,848,-0.4,,not established,Not ranked - no data for rent (no rental market covered by any publisher — RentCafe returns a live Point Reyes Station page whose average-rent field is explicitly 'n/a'),crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -0.4% 2023-25 (flat); PASS-2 TARGET WAS RENT; confirmed negative. rentcafe.com/average-rent-market-trends/us/ca/point-reyes-station/ resolves to a real Point Reyes Station page and shows n/a for average rent, stating its coverage is apartment buildings of 50 or more units — at pop ~848 this village has none. zumper.com/rent-research/point-reyes-station-ca falls through to a generic national page (no such slug). No West Marin neighbour's figure was substituted."
,Rodeo,Contra Costa,Unincorporated community,,56.0,2.1,,44.9,24.5,40.9,,,,,,,4.0,20.0,John Swett Unified,22.6,1,John Swett Unified,28.3,3,37.8,17.8,244508,10563,5.5,,not established,"Not ranked - no data for rent (rent: no publisher reports a per-bedroom figure - Zumper has no page for this slug (redirects to its national landing page) and RentCafe's Rodeo page exists but prints ""n/a"" because Yardi Matrix only tracks buildings of 50+ units, of which Rodeo has none; crime: not re-researched in this pass (first pass already resolved it), retain pass-1 value)",crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +5.5% 2023-25 (filling); District VERIFIED this pass on https://en.wikipedia.org/wiki/Rodeo,_California, which states ""Rodeo is in the John Swett Unified School District""; unified K-12, so the same name fills both district fields. County confirmed Contra Costa on that page. Rent: fetched Zumper (redirect to national page, no place-level report), RentCafe (page is genuinely about Rodeo, CA - title ""Average Rent in Rodeo, CA"" - but the figure is ""n/a""), rent.com (empty body) and apartmentlist.com (HTTP 403). A WebSearch surfaced per-bedroom "
,Santa Venetia,Marin,Unincorporated community,,,27.0,52.7,62.8,80.7,30.2,2995,4850,85% of 2BR stock,Plenty,25% of 3BR stock,Few,,,San Rafael City Elementary,38.7,5,San Rafael City High,43.6,7,28.2,15.8,177465,4834,0.6,address-based attendance area,"Widely available — ""Every SRCS elementary school will have at least one TK class next year, as well as Kindergarten classes."" Note a timing condition: completed TK registration packets are due by an early-March deadline ""to be considered for neighborhood school placement.""","Not ranked - no data for crime (unincorporated, policed by Marin County Sheriff - no place-level rate published; areavibes states on-page that Santa Venetia is outside FBI reporting coverage and its figures are demographic MODELS, not measured crime)",CAASPP 2025 (CDE); srcs.org (via search-result content; site dropped every direct fetch),"enrolment +0.6% 2023-25 (flat); address-based assignment; TK widely available; DISTRICT RESOLVED. https://en.wikipedia.org/wiki/Santa_Venetia,_California, Education section, verbatim: 'Residents are in both the San Rafael Elementary School District and the San Rafael High School District, jointly operated as San Rafael City Schools.' Two legally separate districts run under one joint administration (San Rafael City Schools) - that is why elementary and high school carry different names rather than a unified name. Local K-8 is Venetia Valley K-8; high schoolers attend San Rafael High or Terra "
,Sea Ranch,Sonoma,Unincorporated community,,44.5,85.9,,0.0,35.2,0.0,,,,,,,3.6,63.9,Union Elementary,75.2,10,Union Elementary,74.7,10,137.9,85.1,1392,1305,1.4,address-based attendance area,"Not TK-specific, and a seat in the district is guaranteed: ""Resident registrations are always welcome and placement is always guaranteed at one of our Union School District schools."" The home school is not guaranteed, however — ""If a grade level is closed, you can still register, and placement at another District school will be offered."" No TK waitlist or TK lottery stated.","Not ranked - no data for rent (rent: no rental market covered by any publisher - Zumper has no page for this slug and RentCafe's page prints ""n/a""; the local housing stock is overwhelmingly second homes and short-term vacation rentals rather than a tracked long-term rental market; crime: not re-researched in this pass, retain pass-1 value)",crimegrade.org; CAASPP 2025 (CDE); unionsd.org,"enrolment +1.4% 2023-25 (flat); address-based assignment; TK constrained; District RESOLVED this pass on https://en.wikipedia.org/wiki/Sea_Ranch,_California, whose education section states ""The school districts are Horicon Elementary School District and Point Arena Joint Union High School District"". Sonoma County confirmed on the same page. Split elementary/high arrangement, so the fields differ; note the high school district is headquartered in Mendocino County but is the district that actually serves this Sonoma County community. RentCafe uses the name ""The Sea Ranch"" - its page title "
,Sunol,Alameda,Unincorporated community,,71.1,95.8,,32.1,100.0,38.6,,,,,,,3.4,17.1,Sunol Glen Unified,77.1,10,Sunol Glen Unified,82.8,10,47.4,31.0,235978,913,-12.2,"address-based attendance area (single-school district — one TK-8 school serves the whole district, so there is no inter-school assignment to win)",not established,Not ranked - no data for rent (no rental market covered by any publisher - rentcafe shows n/a for Sunol's average rent),crimegrade.org; CAASPP 2025 (CDE); sunol.k12.ca.us,"enrolment -12.2% 2023-25 (seats opening); address-based assignment; TARGET FIELD (rent) RESOLVED AS A GENUINE NULL. rentcafe.com/average-rent-market-trends/us/ca/sunol/ loaded and its comparison table shows n/a for Sunol while printing real figures for other California cities ($1,621 Fresno to $4,739 Menlo Park), so the publisher covers the market and simply has no Sunol data. The zumper sunol-ca slug redirects to the national index. Sunol is a very small unincorporated Alameda County community in the Sunol Valley (pop ~913) with almost no rental stock. I did NOT substitute rent fr"
,Tara Hills,Contra Costa,Unincorporated community,,,10.8,82.0,55.3,59.0,47.0,2400,3500,97% of 2BR stock,Plenty,68% of 3BR stock,Plenty,,,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,33.1,14.7,284882,5126,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school","Not ranked - no data for crime (crime: unincorporated, policed by county sheriff - no place-level rate published (only a demographic model estimate exists))",CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; Rent was not in my scope for this place (first pass resolved it). DISTRICT (confident): Wikipedia 'Tara Hills, California' Education section states 'Tara Hills is in the West Contra Costa Unified School District.' K-12 unified, so same name in both fields. Corroborated twice: https://www.greatschools.org/california/pinole/ names West Contra Costa Unified (PK, K-12, 63 schools, offices in Richmond) for adjacent Pinole, and ed-data.org lists Tara Hills Elementary under Contra Costa / West Contra Costa Unified. CRIME "
,Temelec,Sonoma,Unincorporated community,,99.0,7.3,,25.1,78.3,14.4,,,,,,,0.9,3.8,Sonoma Valley Unified,29.3,3,Sonoma Valley Unified,28.1,3,52.9,33.2,65459,1344,-3.8,,not established,"Not ranked - no data for rent (rent: no rental market covered by any publisher (RentCafe explicitly n/a, Zumper has no Temelec page))",areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -3.8% 2023-25 (seats opening); District URL: https://en.wikipedia.org/wiki/Temelec,_California . Single UNIFIED district covers K-12, so the same name is in both fields. CRIME: CONVERTED from per-100,000 to per-1,000 (divided by 100). Original figures on the page: violent 88 per 100,000, property 375 per 100,000; both from the SAME AreaVibes page; place confirmed as Temelec, Sonoma County. IMPORTANT CAVEAT: page states ""Temelec crime rates are not available from the FBI crime report"" and the figures are ESTIMATES modelled from demographic data —"
